State,District,year,murder,attempt to murder,culpable homicide not amounting or murder,rape,custodial rape,other rape,kidnapping & abduction,kidnapping and abduction of women and girls,kidnapping and abduction of others,dacoity,preparation and assembly for dacoity,robbery,burglary,theft,auto theft,other theft,riots,criminal breach of trust,cheating,counterfieting,arson,hurt/grevious hurt,dowry deaths,assault on women with intent to outrage her modesty,insult to modesty of women,cruelty by husband or his relatives,importation of girls from foreign countries,causing death by negligence,other ipc crimes,total ipc crimes,TOTAL_CRIME,LATITUDE,LONGITUDE,Cluster
ARUNACHAL PRADESH,CHANGLANG,2002,9,4,1,3,0,3,5,2,3,2,0,5,18,25,0,25,0,4,8,0,2,26,0,0,0,2,0,0,66,180,180,12.862981198556215,77.60598937824614,2
ARUNACHAL PRADESH,DIBANG VALLEY,2002,6,4,0,5,0,5,6,5,1,2,0,9,16,20,0,20,5,0,3,0,0,36,0,4,0,5,0,0,57,178,178,13.049225165549043,77.67934001206609,2
ARUNACHAL PRADESH,KAMENG EAST,2002,3,2,0,1,0,1,4,3,1,0,0,3,10,23,0,23,8,1,0,0,0,37,0,6,0,0,0,0,28,126,126,12.91680440982641,77.67026953744848,0
ARUNACHAL PRADESH,KAMENG WEST,2002,3,3,0,0,0,0,4,1,3,0,0,0,10,15,0,15,0,1,1,0,0,16,0,0,0,0,0,0,31,84,84,12.822056186704929,77.50738100558229,0
ARUNACHAL PRADESH,LOHIT,2002,14,2,0,3,0,3,5,3,2,6,0,5,12,24,0,24,0,1,2,2,1,50,0,8,0,0,0,0,34,169,169,12.945373642248855,77.65000837354289,2
ARUNACHAL PRADESH,PAPUM PARE,2002,3,3,1,3,0,3,10,6,4,7,0,42,66,94,38,56,0,4,3,1,1,51,0,9,1,1,0,0,83,383,383,13.105248784553133,77.62924269759222,1
ARUNACHAL PRADESH,SIANG EAST,2002,3,0,0,11,0,11,10,8,2,2,0,6,28,58,3,55,0,4,5,0,2,58,0,14,0,1,0,0,62,264,264,13.034686389012027,77.40991330947045,1
ARUNACHAL PRADESH,SIANG UPPER,2002,0,1,0,3,0,3,0,0,0,0,0,1,9,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,44,44,13.110570892603764,77.74303155043349,0
ARUNACHAL PRADESH,SIANG WEST,2002,4,7,3,4,0,4,7,6,1,1,0,7,39,50,4,46,3,3,2,0,6,58,0,18,0,2,0,0,117,331,331,12.931214662971366,77.5479393036917,1
ARUNACHAL PRADESH,SUBANSIRI LOWER,2002,8,3,0,1,0,1,4,3,1,2,0,8,16,32,4,28,0,0,1,0,4,18,0,4,0,0,0,0,51,152,152,13.060227536178575,77.79909369520821,2
ARUNACHAL PRADESH,SUBANSIRI UPPER,2002,5,2,0,2,0,2,1,1,0,0,0,6,13,14,0,14,4,3,2,0,4,24,0,4,0,0,0,0,48,132,132,12.950116160254362,77.59323284017725,2
ARUNACHAL PRADESH,TAWANG,2002,0,0,1,1,0,1,0,0,0,0,0,0,3,13,2,11,1,1,1,2,0,2,0,0,1,1,0,0,17,44,44,12.904214885854904,77.42856065254666,0
ARUNACHAL PRADESH,TIRAP,2002,3,7,0,1,0,1,1,0,1,0,0,4,9,20,0,20,0,1,1,0,0,25,0,1,0,1,0,0,67,141,141,13.067397102620102,77.73413445361408,2
ASSAM,C.I.D.,2002,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,45,52,52,13.143584326525888,77.58374425723403,0
ASSAM,G.R.P.,2002,6,0,0,0,0,0,0,0,0,2,0,6,2,62,0,62,0,2,0,0,0,2,0,0,0,0,0,0,34,116,116,13.072577157806931,77.62286517553274,0
ASSAM,N.C.HILLS,2002,25,16,0,2,0,2,9,6,3,2,0,8,4,45,0,45,2,6,2,0,2,23,0,5,0,9,0,12,41,213,213,12.993881233724663,77.53446268217866,2
ASSAM,R.P.O.,2002,0,0,0,1,0,1,1,1,0,2,0,0,1,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,13,13,13.045554836801658,77.76855525072362,0
BIHAR,JAMALPUR RLY.,2002,6,5,2,0,0,0,5,1,4,10,1,7,3,121,3,118,3,0,3,0,0,0,1,2,0,0,0,0,70,239,239,13.155519678507275,77.52885853666196,2
BIHAR,KATIHAR RLY.,2002,14,0,0,2,0,2,3,1,2,9,0,17,17,218,7,211,9,0,12,0,0,0,1,2,0,0,0,0,130,434,434,12.836535468375809,77.44255424878423,1
CHHATTISGARH,BIZAPUR,2002,19,18,0,7,0,7,2,2,0,14,0,2,14,13,5,8,18,0,2,0,10,20,0,1,0,0,0,4,95,239,239,13.165157758417799,77.45134036279308,2
CHHATTISGARH,GRP RAIPUR,2002,2,1,0,5,0,5,0,0,0,0,0,0,8,207,8,199,0,1,1,0,0,6,0,1,0,0,0,0,88,320,320,13.078460760144047,77.4546246095142,1
HIMACHAL PRADESH,G.R.P.,2002,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,8,8,12.887571439561206,77.66513792810674,0
HIMACHAL PRADESH,LAHAUL-SPITI,2002,2,0,0,0,0,0,0,0,0,0,0,1,5,5,0,5,0,2,0,0,0,2,0,2,0,0,0,8,41,68,68,13.178041574773884,77.60212849921295,0
JAMMU & KASHMIR,CRIME JAMMU,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,2,48,48,12.916791064645327,77.74078085090295,0
JAMMU & KASHMIR,KARGIL,2002,0,1,0,1,0,1,2,2,0,0,0,0,2,5,1,4,4,0,1,0,1,0,0,0,0,0,0,0,54,71,71,12.851310047453364,77.42877776572671,0
JAMMU & KASHMIR,LEH,2002,6,1,0,3,0,3,1,1,0,0,0,0,13,5,1,4,3,0,1,0,0,0,0,1,1,0,0,0,93,128,128,13.003206081166308,77.47268119319041,2
JHARKHAND,JAMSHEDPUR RLY.,2002,2,0,0,1,0,1,1,1,0,5,0,6,6,114,4,110,3,0,1,0,0,0,0,5,0,0,0,1,56,201,201,13.182460784301727,77.63927278750899,2
JHARKHAND,SIMDEGA,2002,43,22,3,16,0,16,2,1,1,10,0,12,16,3,3,0,10,0,10,0,3,1,1,0,0,1,0,6,123,282,282,13.028165855293377,77.54313358363652,1
MADHYA PRADESH,INDORE RLY.,2002,3,4,0,1,0,1,1,1,0,0,0,6,1,164,2,162,3,0,0,0,0,7,0,7,0,0,0,0,81,278,278,12.995536644426734,77.74117367912652,1
MADHYA PRADESH,JABALPUR RLY.,2002,2,2,0,0,0,0,0,0,0,1,0,11,1,208,4,204,2,2,0,0,0,8,0,3,0,0,0,1,104,345,345,12.973556177112657,77.55501332984466,1
MANIPUR,BISHNUPUR,2002,24,23,0,2,0,2,20,7,13,1,0,0,5,9,0,9,5,4,8,1,2,66,0,9,0,1,0,1,112,293,293,12.84344857804151,77.59954064992546,1
MANIPUR,CHANDEL,2002,9,4,0,0,0,0,9,0,9,0,0,5,2,6,0,6,0,3,2,1,1,19,0,0,0,0,0,4,33,98,98,12.898598359111569,77.77012131329766,0
MANIPUR,CHURACHANDPUR,2002,30,11,0,0,0,0,19,1,18,0,0,0,4,4,0,4,2,0,0,1,2,6,0,1,0,0,0,0,28,108,108,12.985655232665968,77.77170341460163,0
MANIPUR,SENAPATI,2002,13,11,0,0,0,0,1,0,1,0,0,0,2,6,0,6,2,2,2,0,0,0,0,0,0,0,0,0,91,130,130,12.809828449030602,77.71304834390263,2
MANIPUR,TAMENGLONG,2002,3,3,0,0,0,0,4,0,4,0,0,0,0,6,0,6,0,0,0,0,2,2,0,0,0,0,0,0,8,28,28,13.102305129521413,77.40512534786068,0
MANIPUR,UKHRUL,2002,3,1,0,1,0,1,1,0,1,0,0,1,1,5,0,5,0,1,0,0,1,5,0,0,0,0,0,0,18,38,38,13.109721488664176,77.49977511247462,0
MEGHALAYA,GARO HILLS EAST,2002,10,13,0,1,0,1,5,0,5,5,1,5,10,25,0,25,2,1,2,2,0,8,0,2,0,0,0,0,18,110,110,13.137296954631822,77.61977305807962,0
MEGHALAYA,GARO HILLS SOUTH,2002,10,3,0,1,0,1,2,1,1,2,0,1,5,11,0,11,0,0,3,0,0,4,0,0,0,0,0,0,15,57,57,12.937847486495201,77.48553912953643,0
MEGHALAYA,GARO HILLS WEST,2002,17,6,0,5,0,5,12,0,12,2,0,2,23,45,0,45,4,1,4,0,1,21,0,8,0,0,0,0,45,196,196,12.88639274611926,77.42378406533462,2
MEGHALAYA,JAINTIA HILLS,2002,39,4,0,2,0,2,3,1,2,6,0,10,7,43,2,41,0,0,0,2,2,19,0,5,0,0,0,12,73,227,227,13.13830856026331,77.64383527812997,2
MEGHALAYA,KHASI HILLS WEST,2002,16,8,0,7,0,7,4,0,4,10,0,11,8,11,0,11,0,1,0,0,0,6,0,3,0,0,0,0,34,119,119,13.051254669101553,77.43975750531233,0
MEGHALAYA,RI-BHOI,2002,27,2,0,3,0,3,4,4,0,15,0,14,3,36,9,27,0,0,3,1,3,13,0,0,0,0,0,0,60,184,184,13.063619988133727,77.67624279152334,2
MIZORAM,CHAMPHAI,2002,6,1,0,9,0,9,0,0,0,0,0,1,47,45,2,43,0,0,5,2,3,17,0,10,0,0,0,0,66,212,212,12.985899922982279,77.48362531620906,2
MIZORAM,KOLASIB,2002,4,1,1,5,0,5,1,0,1,2,0,3,28,87,3,84,1,4,6,1,5,12,0,6,0,1,0,10,62,240,240,13.007667968612298,77.4469989698587,2
MIZORAM,LAWNGTLAI,2002,3,0,0,2,0,2,0,0,0,0,0,0,14,22,0,22,0,0,0,0,0,7,0,4,0,0,0,0,110,162,162,13.11736047308338,77.68511215984773,2
MIZORAM,MAMIT,2002,1,0,0,4,0,4,0,0,0,1,0,0,16,18,0,18,0,0,3,1,1,6,0,0,0,0,0,3,8,62,62,12.845055168223057,77.45285257899172,0
MIZORAM,SERCHHIP,2002,6,0,1,2,0,2,1,1,0,1,0,0,23,24,1,23,0,0,1,0,1,5,0,0,0,0,0,0,8,73,73,12.869063806822528,77.65106155908093,0
NAGALAND,KIPHIRE,2002,1,0,0,1,0,1,1,1,0,0,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,11,11,12.89026648724649,77.41254613210263,0
NAGALAND,KOHIMA,2002,25,2,0,9,0,9,0,0,0,4,0,0,19,44,24,20,0,0,12,0,0,1,0,0,0,0,0,0,110,226,226,13.095514239553992,77.57059500879836,2
NAGALAND,MOKOKCHUNG,2002,11,1,1,0,0,0,1,0,1,1,0,5,8,7,2,5,0,0,0,0,3,2,0,0,0,0,0,5,19,64,64,13.027954295177903,77.5813686550325,0
NAGALAND,MON,2002,1,1,0,0,0,0,1,1,0,2,0,3,12,17,2,15,0,0,3,0,0,7,0,0,0,0,0,4,13,64,64,13.1751486945411,77.50480501380741,0
NAGALAND,PEREN,2002,4,9,0,0,0,0,0,0,0,0,0,0,2,5,0,5,0,0,1,0,1,1,0,0,0,0,0,0,8,31,31,13.082717146111811,77.67075134936921,0
NAGALAND,PHEK,2002,5,4,3,1,0,1,4,0,4,2,0,6,2,8,0,8,0,1,0,0,0,5,0,0,0,0,0,0,11,52,52,12.983301436898818,77.54349703780437,0
NAGALAND,TUENSANG,2002,6,5,0,1,0,1,1,0,1,0,0,4,6,2,0,2,3,2,0,2,0,0,0,0,0,0,0,0,13,45,45,13.126759998974018,77.52791401321994,0
NAGALAND,WOKHA,2002,6,3,0,1,0,1,0,0,0,3,0,0,11,36,0,36,1,1,0,0,0,10,0,0,0,0,0,3,24,99,99,13.020390699568582,77.73155228480435,0
NAGALAND,ZUNHEBOTO,2002,9,2,0,1,0,1,0,0,0,0,0,0,8,7,1,6,0,0,2,0,0,0,0,0,0,0,0,0,26,55,55,12.860045001180623,77.76718368426712,0
ODISHA,SRP(CUTTACK),2002,0,2,0,1,0,1,4,1,3,0,0,5,12,277,19,258,1,0,4,1,1,43,0,4,0,2,0,0,82,439,439,12.869818677675449,77.4141514760142,1
ODISHA,SRP(ROURKELA),2002,6,2,0,0,0,0,1,0,1,1,0,4,13,158,2,156,0,0,0,0,0,13,0,6,0,3,0,3,71,281,281,12.978648280979769,77.63814007328958,1
SIKKIM,EAST,2002,6,1,1,3,0,3,5,2,3,0,0,4,44,52,4,48,9,1,28,0,1,28,0,9,0,2,0,4,85,283,283,13.146186402136065,77.45102713314256,1
